Date,"SP&500
(2002/03)","Eurodollar
(2002/03)","Soybeans
(2002/03)","Cotton
(2002/03)","Crude Oil
(2002/03)","Tbonds
(2002/03)","Copper
(2002/03)"
2001-04-03,625,366264,1093,2330,4192,3,1194
2001-04-04,614,369677,1123,2351,4572,3,1188
2001-04-05,629,363806,1211,2429,4452,3,1184
2001-04-06,633,379433,1211,2444,4292,3,1224
2001-04-09,630,378511,1366,2473,4270,3,1224
2001-04-10,630,381028,1350,2514,4325,3,1227
2001-04-11,645,387307,1383,2748,4384,3,1227
2001-04-12,657,384465,1385,2767,4421,3,1227
2001-04-16,646,381428,1385,2827,4424,3,1227
2001-04-17,632,381613,1469,2833,4408,3,1227
2001-04-18,647,372431,1469,2825,4336,3,1228
2001-04-19,644,373698,1470,2843,4398,3,1228
2001-04-20,644,365056,1473,2919,4451,3,1230
2001-04-23,642,371710,2368,2978,4451,3,1231
2001-04-24,637,379460,2369,2983,4451,3,1237
2001-04-25,627,380212,2409,2986,4351,3,1290
2001-04-26,626,379419,2410,2995,4351,3,1290
2001-04-27,651,375565,2415,2996,4608,3,1443
2001-04-30,681,375582,2420,3014,4613,3,2092
2001-05-01,683,382412,2461,3014,4613,3,2349
2001-05-02,675,382703,2470,3014,4808,3,2750
2001-05-03,677,391136,2558,3082,4792,2,2758
2001-05-04,679,414714,2562,3146,4835,12,2936
2001-05-07,681,408678,2562,3135,4823,7,2935
2001-05-08,700,420276,2564,3192,4798,4,2951
2001-05-09,701,431083,2631,3353,5235,4,2976
2001-05-10,701,429895,2705,3459,5245,4,2985
2001-05-11,700,436035,2678,3525,5240,4,2985
2001-05-14,700,430560,2714,3512,5275,4,2994
2001-05-15,725,424766,2874,3522,5276,4,2996
2001-05-16,732,425476,2878,3653,5339,5,3001
2001-05-17,718,424883,2845,3659,5424,5,3001
2001-05-18,749,428488,3191,3719,5320,5,2999
2001-05-21,759,418658,3195,3917,5166,5,2988
2001-05-22,756,414181,3235,4078,5165,5,2988
2001-05-23,756,427125,3496,4196,5236,5,2990
2001-05-24,756,442155,3597,4325,5176,5,2991
2001-05-25,757,437379,3667,4593,5254,5,2986
2001-05-29,752,428385,4308,4512,5473,5,3022
2001-05-30,765,435036,4629,4501,5568,5,3145
2001-05-31,814,444713,4833,4503,5054,5,3173
2001-06-01,804,452348,5561,4536,5054,5,3192
2001-06-04,824,448570,5740,4581,4958,5,3175
2001-06-05,907,453361,5841,4620,4997,5,3127
2001-06-06,907,452960,6061,4628,5203,5,3127
2001-06-07,946,453532,6136,4630,5214,5,3181
2001-06-08,976,452708,6213,4663,5407,5,3203
2001-06-11,960,463881,6482,4585,5508,5,3250
2001-06-12,1000,466880,6488,4619,5387,5,3273
2001-06-13,989,466022,6800,4644,5400,5,3312
2001-06-14,994,472318,6934,4817,5421,5,3312
2001-06-15,981,480889,6935,5009,5377,5,3256
2001-06-18,982,479982,6946,5000,5557,6,3272
2001-06-19,975,489385,6997,5261,5735,6,3294
2001-06-20,975,495092,7023,5127,6540,6,3179
2001-06-21,995,498192,7081,5120,6408,6,3321
2001-06-22,996,476375,7484,5240,6492,6,3483
2001-06-25,995,477981,7702,5328,6600,6,3631
2001-06-26,1048,473576,7856,5419,6615,6,3534
2001-06-27,1045,489111,7824,5558,6696,6,3500
2001-06-28,1077,489920,8221,5544,6936,6,3669
2001-06-29,1098,474980,8898,5561,7049,6,3763
2001-07-02,1112,467234,9233,5731,7266,6,3617
2001-07-03,1112,468870,9557,5900,7358,6,3616
2001-07-05,1075,479268,9898,5903,7518,6,3640
2001-07-06,1075,490638,9977,5880,7490,6,3645
2001-07-09,1081,486925,10818,5750,7197,6,3647
2001-07-10,1085,488580,11402,6038,7276,6,3587
2001-07-11,1111,493749,11844,6170,7161,11,3614
2001-07-12,1115,498682,12266,6215,7243,11,3626
2001-07-13,1098,507775,12067,6485,7152,11,3637
2001-07-16,1069,502017,12041,6781,7204,11,3640
2001-07-17,1067,502393,12759,6841,7374,11,3598
