,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60_O,longitude,latitude
2294,울산광역시,31,울주군,31710,9.18,24.54,2.52,2.52,1.8,3.84,4.98,8.88,129.2628514221261,35.40705071569018
2295,울산광역시,31,울주군,31710,23.16,62.88,10.08,7.32,6.12,9.0,12.48,17.88,129.29710879971574,35.41479970190034
2296,울산광역시,31,울주군,31710,3.0,8.34,2.04,1.0,1.36,1.54,1.08,1.32,129.29143095975547,35.4040435096926
2297,울산광역시,31,울주군,31710,23.0,65.28,19.36,7.84,9.32,14.64,7.98,6.14,129.2794360012438,35.41138292914808
2300,울산광역시,31,울주군,31710,7.5,20.75,4.3,1.45,2.0,4.2,3.65,5.15,129.2338377884154,35.59755202856236
2301,울산광역시,31,울주군,31710,3.06,8.52,1.46,1.08,0.74,1.32,1.86,2.06,129.1170887078814,35.5355937209522
2304,울산광역시,31,울주군,31710,29.73,73.44,19.81,10.07,11.13,14.28,9.59,8.56,129.08691352649402,35.50612274282345
2305,울산광역시,31,울주군,31710,7.6,20.65,3.45,3.45,2.25,3.15,4.1,4.25,129.1139555658944,35.54824283098543
2306,울산광역시,31,울주군,31710,1.5,4.2,0.94,0.52,0.54,0.77,0.74,0.69,129.09829352204284,35.53216107554142
2307,울산광역시,31,울주군,31710,10.51,22.22,5.98,2.41,2.89,4.83,3.32,2.79,129.09579333494744,35.5105493903686
2310,울산광역시,31,울주군,31710,1.52,4.23,0.41,0.34,0.5,0.7,1.05,1.23,129.28292477435792,35.630390172384814
2314,울산광역시,31,울주군,31710,3.0,8.48,1.3,0.74,0.86,1.36,1.88,2.34,129.1042776040996,35.56636070854373
2320,울산광역시,31,울주군,31710,12.01,29.85,6.21,2.48,3.2,5.27,5.38,7.31,129.08456749080628,35.5773572955216
2321,울산광역시,31,울주군,31710,36.04,96.6,28.55,12.74,18.53,17.99,9.49,9.3,129.30719265491092,35.42550786734894
2322,울산광역시,31,울주군,31710,2.98,7.86,0.68,0.8,0.18,1.44,1.5,3.26,129.10794787928242,35.592468340068145
2323,울산광역시,31,울주군,31710,1.55,4.23,0.43,0.38,0.44,0.61,0.97,1.4,129.22803162297177,35.650794582672
2324,울산광역시,31,울주군,31710,3.18,8.84,3.3,0.78,0.8,1.04,1.02,1.9,129.1021951408767,35.575394109841035
2325,울산광역시,31,울주군,31710,1.49,3.93,0.34,0.4,0.09,0.72,0.75,1.63,129.09474301098527,35.59529361682386
2327,울산광역시,31,울주군,31710,1.53,3.96,0.54,0.36,0.33,0.51,0.59,1.63,129.1336846192715,35.61746814955781
2328,울산광역시,31,울주군,31710,6.02,5.35,0.79,0.33,0.43,0.98,1.32,1.5,129.07210626291968,35.553130386819994
2329,울산광역시,31,울주군,31710,1.5,4.19,0.64,0.51,0.51,0.86,0.87,0.8,129.329110965181,35.41895808204134
2330,울산광역시,31,울주군,31710,74.0,202.66,64.66,19.09,43.02,47.33,12.31,16.25,129.30936564458145,35.423681415427325
2331,울산광역시,31,울주군,31710,40.12,90.61,25.67,9.52,15.81,18.87,11.56,9.18,129.30626659555145,35.436335036036084
2332,울산광역시,31,울주군,31710,3.1,8.46,0.86,0.76,0.88,1.22,1.94,2.8,129.23576123864225,35.65071532562509
2333,울산광역시,31,울주군,31710,34.5,95.33,30.87,12.06,18.52,18.5,7.2,8.18,129.30607695494191,35.42461853981716
2334,울산광역시,31,울주군,31710,3.01,5.33,0.78,0.33,0.42,0.98,1.31,1.51,129.0589658968105,35.56045831676122
2337,울산광역시,31,울주군,31710,1.53,4.03,0.68,0.3,0.25,0.75,0.6,1.45,129.2094775420102,35.665405296279516
2338,울산광역시,31,울주군,31710,3.0,8.58,2.16,1.2,1.24,1.52,1.46,1.0,129.29977516978198,35.44361666584798
2339,울산광역시,31,울주군,31710,1.5,4.18,0.83,0.21,0.45,0.81,0.8,1.08,129.06307537902146,35.62081787659641
2340,울산광역시,31,울주군,31710,3.0,8.58,2.16,1.2,1.24,1.52,1.46,1.0,129.29976064659618,35.44271539649682
2341,울산광역시,31,울주군,31710,9.12,24.48,1.86,2.34,1.2,3.06,5.7,10.32,129.15914301948305,35.69835227340862
2342,울산광역시,31,울주군,31710,1.5,3.94,0.47,0.09,0.22,0.71,0.71,1.74,129.13303985202245,35.6499252488675
2343,울산광역시,31,울주군,31710,10.5,27.58,3.29,0.63,1.54,4.97,4.97,12.18,129.12718855491013,35.62654345409244
2344,울산광역시,31,울주군,31710,9.12,24.48,1.86,2.34,1.2,3.06,5.7,10.32,129.16335271122037,35.6838890629205
2345,울산광역시,31,울주군,31710,15.0,39.4,4.7,0.9,2.2,7.1,7.1,17.4,129.1184954972547,35.63654030076339
2346,울산광역시,31,울주군,31710,15.2,43.4,1.3,3.4,2.3,9.5,13.0,13.9,129.1890426150488,35.702566895722
2347,울산광역시,31,울주군,31710,6.0,16.91,4.94,1.6,3.27,3.75,2.01,1.34,129.1108963268858,35.56629973692797
2348,울산광역시,31,울주군,31710,4.5,12.21,2.88,1.29,1.74,2.07,1.68,2.55,129.18020621716698,35.55301950249495
2349,울산광역시,31,울주군,31710,3.0,8.68,1.82,1.2,0.98,1.62,1.68,1.38,129.12735444378393,35.55983655406943
2351,울산광역시,31,울주군,31710,12.88,37.44,6.64,5.36,1.44,6.8,9.76,7.44,129.34621641160925,35.38811969560011
2352,울산광역시,31,울주군,31710,12.0,33.52,5.2,5.28,3.2,4.8,6.64,8.4,129.15770677573448,35.445967561109505
2353,울산광역시,31,울주군,31710,20.02,54.57,21.34,4.27,15.21,8.67,3.46,1.62,129.11084643430328,35.56269448052837
2354,울산광역시,31,울주군,31710,6.0,15.72,1.04,2.56,1.36,1.76,3.56,5.44,129.14651775560148,35.588500948347274
2356,울산광역시,31,울주군,31710,1.53,4.09,0.42,0.42,0.3,0.64,0.83,1.48,129.2423644755326,35.43520820069484
2357,울산광역시,31,울주군,31710,1.56,4.24,0.63,0.59,0.39,0.62,0.87,1.14,129.26784650988563,35.584578459923215
2358,울산광역시,31,울주군,31710,6.24,16.96,2.52,2.36,1.56,2.48,3.48,4.56,129.28037126163832,35.60878372438815
2360,울산광역시,31,울주군,31710,7.5,20.8,6.0,2.25,3.35,3.05,3.5,2.65,129.21778680617513,35.558053381929696
2362,울산광역시,31,울주군,31710,14.0,38.48,7.6,4.56,3.92,6.88,6.72,8.8,129.20199300016924,35.46085807256265
2363,울산광역시,31,울주군,31710,21.0,57.72,11.4,6.84,5.88,10.32,10.08,13.2,129.20087792856202,35.45996776413935
2364,울산광역시,31,울주군,31710,1.5,4.2,0.34,0.5,0.3,0.84,1.12,1.1,129.23165550226662,35.52726388583685
2365,울산광역시,31,울주군,31710,4.5,12.18,1.86,1.26,1.08,2.04,2.25,3.69,129.2654651452416,35.50347612820012
2366,울산광역시,31,울주군,31710,13.77,37.71,6.03,4.14,3.06,6.3,7.74,10.44,129.22892830509852,35.63726432979788
2367,울산광역시,31,울주군,31710,23.16,63.96,12.0,7.44,7.68,11.28,10.8,14.76,129.32129178981612,35.47943939855522
2368,울산광역시,31,울주군,31710,3.01,5.35,0.81,0.56,0.49,0.88,0.97,1.64,129.26439126906882,35.50529025741507
2369,울산광역시,31,울주군,31710,1.53,4.05,0.6,0.25,0.38,0.53,0.64,1.65,129.13218364696075,35.51111388866396
2373,울산광역시,31,울주군,31710,6.01,13.47,2.05,1.4,1.21,2.24,2.47,4.1,129.28736480803263,35.494229685204964
2377,울산광역시,31,울주군,31710,2.51,5.35,1.03,0.75,0.73,1.05,0.92,0.87,129.2938468179951,35.48604740703163
2379,울산광역시,31,울주군,31710,3.28,9.12,1.32,1.16,0.66,1.68,2.12,2.18,129.31138166140332,35.34433338038618
2380,울산광역시,31,울주군,31710,9.0,24.42,5.76,2.58,3.48,4.14,3.36,5.1,129.1846577350653,35.55568000699367
2381,울산광역시,31,울주군,31710,3.12,8.6,1.14,1.2,0.64,1.24,1.96,2.42,129.34671662814475,35.35205687934025
2388,울산광역시,31,울주군,31710,1.52,4.21,0.7,0.37,0.33,0.76,0.84,1.21,129.17582964591114,35.480046578890736
2401,울산광역시,31,울주군,31710,3.5,9.62,1.9,1.14,0.98,1.72,1.68,2.2,129.17547455220665,35.455711260951546
2402,울산광역시,31,울주군,31710,3.0,8.12,1.06,0.48,0.5,1.48,1.6,3.0,129.300801623825,35.37058967016504
2403,울산광역시,31,울주군,31710,3.04,8.44,1.36,0.92,0.64,1.66,1.58,2.28,129.16687067704746,35.47021795932525
2411,울산광역시,31,울주군,31710,1.5,4.23,1.04,0.66,0.73,0.89,0.49,0.42,129.30393298650748,35.42824747484147
2412,울산광역시,31,울주군,31710,1.53,4.09,0.42,0.42,0.3,0.64,0.83,1.48,129.25039290138034,35.38464468149752
2414,울산광역시,31,울주군,31710,1.56,4.32,0.19,0.76,1.15,0.91,0.66,0.65,129.16343499844453,35.61357813717878
2421,울산광역시,31,울주군,31710,3.0,7.86,0.52,1.28,0.68,0.88,1.78,2.72,129.17366777632967,35.55849203193995
2425,울산광역시,31,울주군,31710,1.52,4.15,0.68,0.42,0.41,0.63,0.73,1.28,129.12590725629187,35.61393558999299
2442,울산광역시,31,울주군,31710,1.59,4.33,0.62,0.53,0.37,0.72,0.74,1.35,129.13092923778018,35.50030845698871
2447,울산광역시,31,울주군,31710,65.02,168.18,35.26,31.34,39.09,31.11,19.1,12.28,129.31068628607878,35.43718845421076
2448,울산광역시,31,울주군,31710,3.01,5.33,0.78,0.33,0.42,0.98,1.31,1.51,129.01011333451714,35.5356383521899
2453,울산광역시,31,울주군,31710,1.81,5.09,1.05,0.54,0.66,0.92,1.0,0.92,129.2154981704226,35.47965256589644
2454,울산광역시,31,울주군,31710,1.5,4.16,0.53,0.53,0.35,0.7,0.95,1.1,129.23796548615013,35.50736782844361
2469,울산광역시,31,울주군,31710,1.5,4.0,0.39,0.71,0.46,0.54,0.78,1.12,129.0530337559447,35.61279346305129
2471,울산광역시,31,울주군,31710,1.5,4.19,0.64,0.51,0.51,0.86,0.87,0.8,129.33158061204293,35.43515645615263
2472,울산광역시,31,울주군,31710,55.02,150.04,58.61,11.8,41.85,23.77,9.55,4.46,129.11193701933536,35.561782970513484
2473,울산광역시,31,울주군,31710,129.5,344.95,131.28,14.26,103.46,65.75,18.11,12.09,129.22440457777674,35.55798619246534
2474,울산광역시,31,울주군,31710,3.01,5.33,0.69,0.69,0.46,0.9,1.2,1.39,129.23216438856645,35.488497415856784
2475,울산광역시,31,울주군,31710,1.64,4.56,0.66,0.58,0.33,0.84,1.06,1.09,129.30363802729212,35.34171301877309
2483,울산광역시,31,울주군,31710,150.0,418.43,103.47,51.39,63.9,89.36,55.47,54.84,129.24445330701857,35.57040023612496
2484,울산광역시,31,울주군,31710,206.0,564.72,94.52,94.6,62.96,82.75,110.58,119.31,129.11300258954293,35.55906882270977
2487,울산광역시,31,울주군,31710,91.0,249.46,41.75,41.77,27.82,36.57,48.85,52.7,129.11186212632953,35.5563750829526
2488,울산광역시,31,울주군,31710,120.0,328.96,55.04,55.1,36.69,48.21,64.41,69.51,129.1129776016289,35.557266193920526
6033,울산광역시,31,동구,31170,47.92,78.87,21.7,13.71,14.27,13.7,12.23,3.26,129.41954386010585,35.4891380345361
6034,울산광역시,31,동구,31170,106.99,225.63,53.43,36.51,33.83,41.58,36.3,23.98,129.42078889727495,35.49723598613673
6035,울산광역시,31,동구,31170,208.63,616.74,191.47,87.36,134.2,112.51,64.18,27.02,129.41753037379985,35.49997860870679
6037,울산광역시,31,중구,31110,22.05,71.83,10.64,9.01,6.8,12.33,14.86,18.19,129.3236090484397,35.553329803541544
6038,울산광역시,31,중구,31110,63.21,180.99,36.29,26.86,25.09,27.29,35.2,30.26,129.31483045254484,35.55613029947477
6039,울산광역시,31,중구,31110,56.94,69.42,19.89,8.45,13.52,12.35,8.19,7.02,129.28824513399135,35.549206661420996
6040,울산광역시,31,동구,31170,3.56,10.82,1.86,1.68,1.32,1.64,2.36,1.96,129.41698371090257,35.53153409455182
6041,울산광역시,31,중구,31110,262.01,732.68,259.44,38.2,161.37,169.86,55.99,47.82,129.27400856491764,35.55566817448161
6042,울산광역시,31,중구,31110,108.44,223.94,65.09,26.19,39.02,48.54,26.11,18.99,129.28717119976073,35.55102098214126
6043,울산광역시,31,중구,31110,149.29,338.24,81.43,55.2,50.71,63.28,58.32,29.3,129.3404375482111,35.570270151277086
6044,울산광역시,31,동구,31170,16.92,35.08,3.8,8.62,4.2,4.04,5.8,8.62,129.43225830722685,35.52233929406121
6045,울산광역시,31,중구,31110,101.04,358.53,67.07,53.02,53.14,55.68,68.35,61.27,129.31705102043824,35.55700741524773
6046,울산광역시,31,동구,31170,3.88,10.62,1.36,1.26,0.84,1.24,2.18,3.74,129.4537410380501,35.55182772596743
6047,울산광역시,31,중구,31110,9.81,15.99,2.31,2.4,1.59,2.76,3.06,3.87,129.30702218080253,35.550806936713
6048,울산광역시,31,중구,31110,176.79,511.86,101.95,73.59,57.4,103.77,98.81,76.34,129.33237207042174,35.54962743870985
6049,울산광역시,31,중구,31110,81.22,258.21,41.7,48.21,29.55,42.35,55.0,41.4,129.33678326111382,35.549578503455436
6050,울산광역시,31,동구,31170,3.88,10.62,1.36,1.26,0.84,1.24,2.18,3.74,129.45396937406645,35.564444437078215
6051,울산광역시,31,동구,31170,251.33,885.06,259.33,122.28,159.04,168.48,134.44,41.49,129.42438206661407,35.513418763132826
6052,울산광역시,31,중구,31110,5.88,20.04,9.84,1.72,2.68,2.44,1.84,1.52,129.32181868248384,35.578588860084096
6053,울산광역시,31,중구,31110,58.68,144.57,31.42,22.38,18.97,30.82,24.11,16.87,129.34139006744599,35.561245494048414
6054,울산광역시,31,동구,31170,180.0,622.98,197.78,85.11,108.8,146.52,63.2,21.57,129.42923945940402,35.53860034131938
6064,울산광역시,31,중구,31110,56.22,184.29,47.06,23.52,21.35,42.02,32.63,17.71,129.33598024076892,35.56761553261574
6067,울산광역시,31,중구,31110,34.57,72.29,18.81,8.69,20.79,13.49,7.36,3.15,129.31184565828505,35.57599384724029
6070,울산광역시,31,중구,31110,2.94,9.9,2.32,1.06,2.2,1.52,0.98,1.82,129.2996232031879,35.57071810676952
6071,울산광역시,31,중구,31110,99.21,213.83,40.08,34.92,27.68,33.12,42.03,36.0,129.34368644949618,35.56662828667261
6079,울산광역시,31,중구,31110,12.41,31.44,8.16,3.8,9.02,5.88,3.2,1.38,129.3128309115097,35.56877184585935
6081,울산광역시,31,중구,31110,36.63,101.86,26.51,13.53,24.12,16.41,12.96,8.33,129.31508133785374,35.571451479306525
6083,울산광역시,31,중구,31110,187.47,613.8,148.03,128.33,141.96,111.02,54.26,30.2,129.30039062262034,35.54997739504832
6086,울산광역시,31,중구,31110,1.47,4.95,1.16,0.53,1.1,0.76,0.49,0.91,129.2897531750451,35.574429994788346
6116,울산광역시,31,중구,31110,19.75,43.38,8.98,5.76,7.75,8.17,5.96,6.76,129.32059685834824,35.57139104367592
6127,울산광역시,31,중구,31110,186.0,686.41,128.76,97.9,60.59,133.35,157.46,108.35,129.33135887998017,35.55504709696684
6130,울산광역시,31,중구,31110,50.0,179.04,38.2,25.45,22.98,32.37,32.49,27.55,129.30159565470387,35.55627423489767
6132,울산광역시,31,중구,31110,337.0,1093.44,363.54,133.45,243.85,222.36,68.83,61.41,129.29708216567374,35.55001311347914
6245,울산광역시,31,남구,31140,156.44,229.65,33.51,30.41,28.88,34.41,49.53,52.91,129.31131581064326,35.54354893018684
6246,울산광역시,31,남구,31140,65.91,131.72,21.17,22.96,18.48,20.46,25.51,23.14,129.31019839156428,35.54265969377535
6247,울산광역시,31,남구,31140,31.29,71.51,13.87,10.37,9.91,13.77,14.47,9.12,129.31443237660068,35.53179657781464
6426,울산광역시,31,남구,31140,4.11,15.6,1.23,1.35,1.26,2.28,3.48,6.0,129.32599593517457,35.4974160144617
6427,울산광역시,31,남구,31140,90.39,180.2,29.67,30.09,25.09,33.5,31.83,30.02,129.32229854402257,35.540724493799004
6435,울산광역시,31,남구,31140,10.96,41.6,3.28,3.6,3.36,6.08,9.28,16.0,129.339340905627,35.50447958153726
6456,울산광역시,31,남구,31140,1.85,5.36,0.5,0.82,0.63,0.79,1.06,1.56,129.35968262485702,35.53399799238358
6457,울산광역시,31,남구,31140,17.95,47.01,5.79,6.75,5.37,7.16,8.94,13.0,129.37343122113427,35.49958839640313
6458,울산광역시,31,남구,31140,24.66,85.5,18.9,12.42,10.08,11.88,16.38,15.84,129.33835863519218,35.51170180554778
6465,울산광역시,31,남구,31140,1.37,5.2,0.41,0.45,0.42,0.76,1.16,2.0,129.33829867575963,35.50809682411246
6466,울산광역시,31,남구,31140,1.37,5.2,0.41,0.45,0.42,0.76,1.16,2.0,129.3829476272194,35.47604279652009
6470,울산광역시,31,남구,31140,2.92,11.0,0.86,1.14,0.96,1.32,2.26,4.46,129.29532578340377,35.50946839354931
6471,울산광역시,31,남구,31140,76.74,265.03,38.26,64.93,25.63,42.81,59.97,33.43,129.30342132618856,35.5328177724866
6478,울산광역시,31,남구,31140,31.71,80.5,11.12,25.14,11.62,11.59,12.06,8.97,129.2560801349103,35.53782840430915
6479,울산광역시,31,남구,31140,63.07,199.63,37.5,24.88,25.38,38.83,39.69,33.35,129.32645645367734,35.5253547516621
6489,울산광역시,31,남구,31140,10.96,37.84,6.4,7.68,4.48,5.92,8.88,4.48,129.3013620684637,35.5418541879003
6490,울산광역시,31,남구,31140,6.88,10.69,2.64,1.58,1.91,1.81,1.58,1.17,129.26507173350666,35.548551181750604
6494,울산광역시,31,남구,31140,104.21,235.67,38.89,27.0,30.28,44.87,43.94,50.69,129.32968935432098,35.52081201636187
6498,울산광역시,31,남구,31140,30.35,58.39,5.68,20.6,13.79,9.84,6.0,2.48,129.33208823208983,35.53250382256759
6511,울산광역시,31,남구,31140,1.37,4.71,0.91,0.62,0.65,0.69,0.82,1.02,129.33390469719228,35.5090470127207
6523,울산광역시,31,남구,31140,4.36,10.66,2.6,1.72,2.56,2.22,1.14,0.42,129.34654228119064,35.53955420103877
6527,울산광역시,31,남구,31140,17.81,60.71,14.04,7.67,7.15,12.09,12.48,7.28,129.32617412522515,35.50823102545796
6531,울산광역시,31,남구,31140,1.37,5.2,0.41,0.45,0.42,0.76,1.16,2.0,129.32476037745886,35.489316874288214
6551,울산광역시,31,남구,31140,2.74,9.74,1.64,1.5,0.82,1.46,2.68,1.64,129.30887553726743,35.52915291462295
6553,울산광역시,31,남구,31140,1.85,5.36,0.5,0.82,0.63,0.79,1.06,1.56,129.34599918259892,35.50710954620478
6573,울산광역시,31,남구,31140,6.12,5.32,0.98,1.35,1.02,0.93,0.66,0.38,129.33769102459118,35.537850117775804
6574,울산광역시,31,남구,31140,96.36,269.94,102.5,28.26,100.27,37.35,1.14,0.42,129.34880808574326,35.54313444760558
6578,울산광역시,31,남구,31140,495.0,1514.69,515.73,126.06,360.06,330.34,159.5,23.0,129.32428119675598,35.52718153245559
12562,울산광역시,31,북구,31200,8.45,27.65,4.3,3.65,2.5,4.05,5.55,7.6,129.34433556120442,35.605381258120715
12563,울산광역시,31,북구,31200,6.52,21.72,7.48,1.76,3.48,5.6,1.88,1.52,129.37055894344363,35.58976145207198
12564,울산광역시,31,북구,31200,6.52,21.8,3.08,2.36,2.44,4.32,5.0,4.6,129.44284141979531,35.62046443522753
12565,울산광역시,31,북구,31200,29.84,42.72,8.13,9.68,6.07,8.11,7.22,3.51,129.38409422421944,35.54273370265012
12566,울산광역시,31,북구,31200,108.09,179.51,36.24,38.24,28.47,36.9,26.57,13.09,129.3981155507738,35.52454356812568
12567,울산광역시,31,북구,31200,4.89,16.44,3.63,3.48,2.58,3.09,2.67,0.99,129.39395580596303,35.53901425455899
