,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,POP,POP_10,POP_20,POP_30,POP_40,POP_50,POP_60,POP_70,POP_80_O,latitude,longitude
21,울산광역시,31,울주군,31710,5.04686,0.0,1.2469,1.54375,1.12813,0.94997,0.17811,0.0,0.0,35.41294966653467,129.30148363914705
22,울산광역시,31,울주군,31710,3.36453,0.0,0.0,0.0,0.0,3.36453,0.0,0.0,0.0,35.413091643064625,129.28827222358936
23,울산광역시,31,울주군,31710,10.63786,0.01084,0.90965,2.60984,4.97418,1.97091,0.16244,0.0,0.0,35.44909542161666,129.29325367532587
27,울산광역시,31,울주군,31710,22.7734,0.0,1.7518,12.2626,8.759,0.0,0.0,0.0,0.0,35.408538094428096,129.29260390659311
37,울산광역시,31,울주군,31710,0.61776,0.0,0.0,0.61776,0.0,0.0,0.0,0.0,0.0,35.519163283953034,129.1389126385154
166,울산광역시,31,중구,31110,70.61097,0.02435,14.44537,20.81105,26.36888,7.78325,1.10632,0.06536,0.00639,35.57407052381736,129.32284761480093
185,울산광역시,31,울주군,31710,7.52661,0.0,0.54786,2.73913,3.26309,0.85745,0.11908,0.0,0.0,35.55927430323547,129.18581391376875
186,울산광역시,31,울주군,31710,25.20982,0.0,2.52111,10.38674,8.04388,2.51123,1.74686,0.0,0.0,35.437212399186045,129.3084837382493
194,울산광역시,31,북구,31200,63.2194,0.0,4.31045,22.98888,28.73599,5.74726,1.43682,0.0,0.0,35.642257203571354,129.35158001852884
214,울산광역시,31,울주군,31710,2.76648,0.0,0.0,2.76648,0.0,0.0,0.0,0.0,0.0,35.50061469410539,129.09786274014732
257,울산광역시,31,울주군,31710,5.0361,0.0,0.0,1.6787,1.6787,1.6787,0.0,0.0,0.0,35.55394279550506,129.0820449606495
378,울산광역시,31,남구,31140,4.50995,0.00019,0.27736,2.02082,1.84738,0.30149,0.05765,0.00506,0.0,35.48983736726508,129.35893657842942
379,울산광역시,31,남구,31140,1.43912,0.00012,0.17619,0.46895,0.56249,0.19153,0.03662,0.00322,0.0,35.48534359353562,129.35775863417405
380,울산광역시,31,남구,31140,2.0249,0.00017,0.2479,0.65981,0.79142,0.2695,0.05156,0.00454,0.0,35.502467162318666,129.35804742700967
381,울산광역시,31,남구,31140,4.04556,0.00034,0.49532,1.31826,1.58121,0.53843,0.10295,0.00905,0.0,35.49801061304293,129.35356307671327
382,울산광역시,31,남구,31140,7.71512,0.00066,0.94458,2.514,3.01548,1.02682,0.19634,0.01724,0.0,35.49073860787668,129.35895178765097
383,울산광역시,31,남구,31140,0.128,1e-05,0.01566,0.04172,0.05004,0.01703,0.00326,0.00028,0.0,35.488748423298716,129.37545065043216
384,울산광역시,31,남구,31140,36.15839,0.00311,4.42693,11.78232,14.13258,4.8124,0.92021,0.08084,0.0,35.49053829739251,129.37658340830367
385,울산광역시,31,남구,31140,3.01395,0.00026,0.36901,0.9821,1.178,0.40115,0.0767,0.00673,0.0,35.49899835412798,129.3458635435129
386,울산광역시,31,남구,31140,4.91446,0.00033,0.48392,2.24992,1.54483,0.52605,0.10057,0.00884,0.0,35.47629385647271,129.36091208979028
387,울산광역시,31,남구,31140,4.08446,0.00035,0.50007,1.33094,1.5964,0.5436,0.10396,0.00914,0.0,35.50718331828765,129.3393859031417
390,울산광역시,31,남구,31140,48.59789,0.00056,3.05153,28.76304,10.59251,5.04582,1.12971,0.01472,0.0,35.47452868192313,129.35757636416136
395,울산광역시,31,남구,31140,43.77914,0.0,5.1779,4.31494,25.71476,7.70858,0.86296,0.0,0.0,35.53517055708027,129.25162734157507
397,울산광역시,31,남구,31140,7.48956,0.0,0.0,7.48956,0.0,0.0,0.0,0.0,0.0,35.51482841427931,129.29982220417358
398,울산광역시,31,남구,31140,18.7239,0.0,3.74478,7.48956,3.74478,3.74478,0.0,0.0,0.0,35.511211469227405,129.3008662482519
399,울산광역시,31,남구,31140,0.69829,6e-05,0.08549,0.22753,0.27294,0.09294,0.01777,0.00156,0.0,35.48930474299418,129.32586235491686
400,울산광역시,31,남구,31140,5.77206,0.0,3.2067,0.64134,0.64134,0.96201,0.32067,0.0,0.0,35.465379041148545,129.36954252658356
579,울산광역시,31,울주군,31710,12.71029,0.0,3.05048,7.11777,2.03364,0.5084,0.0,0.0,0.0,35.58499004231972,129.1365359602959
782,울산광역시,31,남구,31140,4.37092,0.0,2.18546,0.0,2.18546,0.0,0.0,0.0,0.0,35.51839767996774,129.30318761515394
799,울산광역시,31,북구,31200,3.15801,0.0,0.78949,1.11881,0.90773,0.28709,0.05067,0.00422,0.0,35.63374542444085,129.30616592510157
846,울산광역시,31,북구,31200,1.36978,0.0,0.0,1.36978,0.0,0.0,0.0,0.0,0.0,35.63617047377407,129.3316018948654
889,울산광역시,31,울주군,31710,13.89815,0.0,1.08234,3.51961,5.59617,3.33923,0.3608,0.0,0.0,35.58813321492254,129.08912745178262
899,울산광역시,31,울주군,31710,12.06428,0.0,1.20366,5.2266,4.93033,0.61109,0.0926,0.0,0.0,35.44226659179183,129.16756766025222
900,울산광역시,31,울주군,31710,55.49448,0.0,11.98386,19.72729,16.77739,6.0841,0.92184,0.0,0.0,35.438629256195576,129.17081952543884
907,울산광역시,31,울주군,31710,3.32404,0.0,0.0,3.32404,0.0,0.0,0.0,0.0,0.0,35.52477791294864,129.1169383949236
940,울산광역시,31,북구,31200,6.262,0.0,1.27859,2.35581,2.03367,0.49331,0.08048,0.02014,0.0,35.62265202328561,129.33137720645271
941,울산광역시,31,울주군,31710,2.5388,0.0,0.0,0.0,2.5388,0.0,0.0,0.0,0.0,35.58204802844114,129.25125467840817
942,울산광역시,31,울주군,31710,4.17685,0.0,0.5526,1.72273,1.33266,0.37382,0.17879,0.01625,0.0,35.573183712885594,129.23677309813024
959,울산광역시,31,북구,31200,5.15639,0.0,0.0,4.29699,0.8594,0.0,0.0,0.0,0.0,35.6294778978216,129.36571760740523
965,울산광역시,31,울주군,31710,29.88205,0.0,12.30437,12.30437,3.51554,1.75777,0.0,0.0,0.0,35.49278766521532,129.2531725412897
966,울산광역시,31,울주군,31710,5.27331,0.0,1.75777,1.75777,1.75777,0.0,0.0,0.0,0.0,35.46004020143087,129.2813096327335
967,울산광역시,31,울주군,31710,8.3704,0.0,1.44751,3.11529,2.8321,0.81815,0.12588,0.03147,0.0,35.55797495891885,129.2255075375784
999,울산광역시,31,중구,31110,0.94187,0.0,0.0,0.0,0.0,0.94187,0.0,0.0,0.0,35.557235033107624,129.29609567094778
1018,울산광역시,31,중구,31110,9.15952,0.0,1.45041,4.50361,0.22851,2.90082,0.0,0.0,0.07617,35.56230577815979,129.3270665007383
1022,울산광역시,31,남구,31140,12.56069,0.00427,1.24627,3.50375,3.77835,3.2758,0.73088,0.02137,0.0,35.51522072693552,129.346134875888
1023,울산광역시,31,남구,31140,11.83943,0.00649,1.88721,3.86944,3.56714,2.08806,0.38869,0.0324,0.0,35.510465959870515,129.36810455896793
1024,울산광역시,31,남구,31140,16.14869,0.00623,2.76665,6.5733,4.38516,2.01167,0.37447,0.03121,0.0,35.51957823343857,129.35943883940237
1025,울산광역시,31,남구,31140,8.07681,0.00443,1.28746,2.63972,2.4335,1.42443,0.26517,0.0221,0.0,35.50324355191416,129.36908414571062
1026,울산광역시,31,남구,31140,43.79539,0.02396,6.98106,14.31358,13.19533,7.7239,1.43776,0.1198,0.0,35.52688743820158,129.35074089628654
1027,울산광역시,31,남구,31140,9.34993,0.00511,1.49039,3.05582,2.8171,1.64895,0.30698,0.02558,0.0,35.521455241523384,129.3528548899707
1028,울산광역시,31,남구,31140,2.43787,0.00133,0.38861,0.79676,0.73452,0.42995,0.08003,0.00667,0.0,35.511529219383284,129.35379045414388
1029,울산광역시,31,남구,31140,2.78201,0.00153,0.44346,0.90923,0.83821,0.49063,0.09134,0.00761,0.0,35.51591090997121,129.36488954300512
1030,울산광역시,31,남구,31140,0.76274,0.00042,0.12158,0.24928,0.22982,0.13451,0.02504,0.00209,0.0,35.52849061489635,129.3684111530546
1031,울산광역시,31,남구,31140,7.9271,0.00435,1.26358,2.5908,2.38839,1.39806,0.26023,0.02169,0.0,35.52944191446384,129.36401646203257
1035,울산광역시,31,남구,31140,0.78587,0.00043,0.12527,0.25685,0.23679,0.1386,0.02579,0.00214,0.0,35.527614436113645,129.36619085359067
1036,울산광역시,31,남구,31140,0.8661,0.00047,0.13806,0.28307,0.26095,0.15274,0.02844,0.00237,0.0,35.51239321798075,129.35711245618893
1044,울산광역시,31,남구,31140,16.37392,0.00896,2.61003,5.35147,4.93338,2.88776,0.53753,0.04479,0.0,35.50686102213232,129.3680432728087
1045,울산광역시,31,남구,31140,8.74182,0.00478,1.39347,2.85708,2.63386,1.54173,0.28698,0.02392,0.0,35.52683785838499,129.35515080877948
1051,울산광역시,31,북구,31200,14.47248,0.0,3.2563,5.06536,4.34175,1.80907,0.0,0.0,0.0,35.59066267339071,129.37057433901995
1061,울산광역시,31,북구,31200,1.32334,0.0,0.0,0.66167,0.66167,0.0,0.0,0.0,0.0,35.62409565208645,129.36341782757978
1072,울산광역시,31,중구,31110,9.32465,0.12267,1.10425,3.68082,3.18999,1.10425,0.12267,0.0,0.0,35.55933150986857,129.26855095899026
