,,,,,일자,20180422,20180422,20180423,20180423,20180424,20180424,20180425,20180425,20180426,20180426,20180427,20180427,20180428,20180428,계,계
가로명,방면,요일,순번(LV2),시작지점,종료지점,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스,승용차,버스
강남로,상행,일요일,1,태화R,번영교남교차로,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
강남로,상행,일요일,2,번영교남교차로,학성교남교차로,"19,954",0,-,-,-,-,-,-,-,-,-,-,-,-,"19,954",0
강남로,상행,일요일,3,학성교남교차로,명촌교남단,0,16,-,-,-,-,-,-,-,-,-,-,-,-,0,16
강남로,상행,월요일,1,태화R,번영교남교차로,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
강남로,상행,월요일,2,번영교남교차로,학성교남교차로,-,-,"24,396",0,-,-,-,-,-,-,-,-,-,-,"24,396",0
강남로,상행,월요일,3,학성교남교차로,명촌교남단,-,-,0,20,-,-,-,-,-,-,-,-,-,-,0,20
강남로,상행,화요일,1,태화R,번영교남교차로,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
강남로,상행,화요일,2,번영교남교차로,학성교남교차로,-,-,-,-,"24,389",0,-,-,-,-,-,-,-,-,"24,389",0
강남로,상행,화요일,3,학성교남교차로,명촌교남단,-,-,-,-,0,24,-,-,-,-,-,-,-,-,0,24
강남로,상행,수요일,1,태화R,번영교남교차로,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
강남로,상행,수요일,2,번영교남교차로,학성교남교차로,-,-,-,-,-,-,"28,063",0,-,-,-,-,-,-,"28,063",0
강남로,상행,수요일,3,학성교남교차로,명촌교남단,-,-,-,-,-,-,0,22,-,-,-,-,-,-,0,22
강남로,상행,목요일,1,태화R,번영교남교차로,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
강남로,상행,목요일,2,번영교남교차로,학성교남교차로,-,-,-,-,-,-,-,-,"28,399",0,-,-,-,-,"28,399",0
강남로,상행,목요일,3,학성교남교차로,명촌교남단,-,-,-,-,-,-,-,-,0,22,-,-,-,-,0,22
강남로,상행,금요일,1,태화R,번영교남교차로,-,-,-,-,-,-,-,-,-,-,0,0,-,-,0,0
강남로,상행,금요일,2,번영교남교차로,학성교남교차로,-,-,-,-,-,-,-,-,-,-,"27,316",0,-,-,"27,316",0
강남로,상행,금요일,3,학성교남교차로,명촌교남단,-,-,-,-,-,-,-,-,-,-,0,23,-,-,0,23
강남로,상행,토요일,1,태화R,번영교남교차로,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0
강남로,상행,토요일,2,번영교남교차로,학성교남교차로,-,-,-,-,-,-,-,-,-,-,-,-,"26,638",0,"26,638",0
강남로,상행,토요일,3,학성교남교차로,명촌교남단,-,-,-,-,-,-,-,-,-,-,-,-,0,25,0,25
강남로,하행,일요일,1,명촌교남단,학성교남교차로,0,12,-,-,-,-,-,-,-,-,-,-,-,-,0,12
강남로,하행,일요일,2,학성교남교차로,번영교남교차로,"21,212",0,-,-,-,-,-,-,-,-,-,-,-,-,"21,212",0
강남로,하행,일요일,3,번영교남교차로,태화R,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0
강남로,하행,월요일,1,명촌교남단,학성교남교차로,-,-,0,29,-,-,-,-,-,-,-,-,-,-,0,29
강남로,하행,월요일,2,학성교남교차로,번영교남교차로,-,-,"23,888",0,-,-,-,-,-,-,-,-,-,-,"23,888",0
강남로,하행,월요일,3,번영교남교차로,태화R,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0
강남로,하행,화요일,1,명촌교남단,학성교남교차로,-,-,-,-,0,26,-,-,-,-,-,-,-,-,0,26
강남로,하행,화요일,2,학성교남교차로,번영교남교차로,-,-,-,-,"27,807",0,-,-,-,-,-,-,-,-,"27,807",0
강남로,하행,화요일,3,번영교남교차로,태화R,-,-,-,-,0,0,-,-,-,-,-,-,-,-,0,0
강남로,하행,수요일,1,명촌교남단,학성교남교차로,-,-,-,-,-,-,0,31,-,-,-,-,-,-,0,31
강남로,하행,수요일,2,학성교남교차로,번영교남교차로,-,-,-,-,-,-,"29,331",0,-,-,-,-,-,-,"29,331",0
강남로,하행,수요일,3,번영교남교차로,태화R,-,-,-,-,-,-,0,0,-,-,-,-,-,-,0,0
강남로,하행,목요일,1,명촌교남단,학성교남교차로,-,-,-,-,-,-,-,-,0,24,-,-,-,-,0,24
강남로,하행,목요일,2,학성교남교차로,번영교남교차로,-,-,-,-,-,-,-,-,"29,277",0,-,-,-,-,"29,277",0
강남로,하행,목요일,3,번영교남교차로,태화R,-,-,-,-,-,-,-,-,0,0,-,-,-,-,0,0
