,PR_per_PY,latitude,longitude,SB_score,CLSS,SB_worker_score
466,1879606.8796068795,35.38095868063523,129.3416943758689,29.796767,3,11.287944249999999
894,2439038.6869871044,35.38362567569446,129.34504083870914,78.290981,4,3.44032305
321,2319934.8180336775,35.401375018055845,129.2880853494827,106.70443100000001,4,0.932416036
738,3380988.5931558935,35.404102371207706,129.28592679814656,61.260467999999996,2,5.8670733020000005
706,2211867.6302776723,35.40412584561248,129.28372512904042,64.34601500000001,4,3.6280837999999997
888,3271311.120726958,35.40413756777167,129.28262429353327,46.15798399999999,4,8.293141235999999
155,3263792.304126101,35.40414927990203,129.2815234573908,40.44586399999999,5,2.63529
1432,2302904.5643153526,35.406853124275216,129.28156635789153,105.559989,4,15.690818121000001
1246,2448230.6684141546,35.40686482753925,129.28046548437,150.039112,3,3.5785857689999996
407,2831749.049429658,35.40953352844816,129.28381108274212,38.161393,5,1.1620069499999999
939,2201353.637901861,35.410446533309376,129.2827244893341,38.82925499999999,4,1.8254142
786,1820058.9970501475,35.41050500722426,129.27721987355707,46.713636,3,4.2001763809999995
1011,2358383.8383838385,35.41051667191357,129.27611894850108,53.511745000000005,4,1.0057331999999999
884,1736672.0516962844,35.42276817539149,129.31045210264062,32.852829,4,3.197524
911,1648013.9170774138,35.43361928550644,129.30732404909358,134.313615,4,1.457396452
505,4376106.194690266,35.434544435852,129.30513617356243,33.335445,3,0.7314963999999999
969,2106719.3675889326,35.437188454210755,129.31068628607878,34.404018,4,1.5182772000000002
145,2899543.378995434,35.43724824134386,129.30517991163978,68.36054,4,1.9407366999999995
322,1783323.8797504255,35.45184646556283,129.28889111452938,40.5488,4,1.7509155930000002
956,2393514.4609991238,35.45450304389401,129.29334040927222,52.426587000000005,3,2.637792
739,2476935.7495881384,35.45451486818216,129.29223889218306,105.121486,3,4.46075965
824,2429915.3339604894,35.45452668242305,129.29113737445266,100.98512000000001,4,3.09275075
878,2393458.870168484,35.455427953096425,129.29115180780104,52.512055999999994,2,0.643572
6,3175285.9273993038,35.47213132091157,129.40932685862063,118.012436,2,2.018837
1477,4264849.074975657,35.475710406321234,129.41159341457907,39.550489999999996,4,5.529422800000001
1079,4283727.399165507,35.47572331623019,129.4104916622264,34.430957,5,21.96305085
804,5204545.454545454,35.4766245392456,129.41050743890216,27.697630999999998,3,9.295909099999998
1064,4201626.016260163,35.47837527976706,129.4149461470221,53.24440499999999,5,22.267815443999996
423,2987700.335445397,35.47840115241975,129.41274257209142,100.909886,4,5.23152568
708,4212445.804641673,35.479263548813904,129.4160637736594,115.86897699999999,4,24.671654080999993
422,2554653.937947494,35.48012585200338,129.4193850433415,76.940825,4,1.9845607499999998
856,2516186.4105300605,35.480164769128095,129.4160796145882,131.150576,4,25.915064550000004
624,4231319.554848966,35.48017772139295,129.4149778035966,34.44821,5,24.9825767
903,3334443.0992736076,35.48025522382514,129.40836692291026,121.22614699999998,4,5.320195116
1258,2305003.427004798,35.48106598930167,129.4160954562202,114.826267,3,2.1777409999999997
