,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HO_CNT,PY_SUM,PR_SUM,PY_10U,PY_10,PY_20,PY_30,PY_40,PY_50O,PR_05U,PR_05,PR_1,PR_2,PR_3,PR_4,PR_5,PR_6,PR_7_O,latitude,longitude
187,울산광역시,31,울주군,31710,90,2428.0,7288000000.0,0,0,68,22,0,0,0,90,0,0,0,0,0,0,0,35.56445626214481,129.1152837514918
660,울산광역시,31,남구,31140,132,2391.0,13848000000.0,0,132,0,0,0,0,0,20,112,0,0,0,0,0,0,35.540474520767546,129.26163592474722
661,울산광역시,31,남구,31140,48,1044.0,3144000000.0,0,0,48,0,0,0,0,48,0,0,0,0,0,0,0,35.52010436334233,129.31203607361348
662,울산광역시,31,남구,31140,169,2594.0,8026000000.0,0,139,30,0,0,0,130,39,0,0,0,0,0,0,0,35.52190686996739,129.31206547808804
663,울산광역시,31,남구,31140,495,10669.0,63329000000.0,0,195,300,0,0,0,0,80,415,0,0,0,0,0,0,35.52718153245559,129.32428119675598
664,울산광역시,31,남구,31140,200,5058.0,29366000000.0,0,0,200,0,0,0,0,36,164,0,0,0,0,0,0,35.52891104363748,129.330925991364
665,울산광역시,31,동구,31170,184,4022.0,12771000000.0,0,84,80,20,0,0,84,80,20,0,0,0,0,0,0,35.47213132091157,129.40932685862063
666,울산광역시,31,동구,31170,144,3478.0,13717000000.0,0,0,144,0,0,0,0,108,36,0,0,0,0,0,0,35.484644929605174,129.41836257257202
667,울산광역시,31,동구,31170,349,6056.0,26548000000.0,0,349,0,0,0,0,0,349,0,0,0,0,0,0,0,35.520615402746635,129.42561207619895
668,울산광역시,31,동구,31170,277,5722.0,19583000000.0,0,97,180,0,0,0,0,277,0,0,0,0,0,0,0,35.49274290361087,129.41960740655432
669,울산광역시,31,동구,31170,105,1882.0,5872000000.0,0,105,0,0,0,0,8,97,0,0,0,0,0,0,0,35.49272990510796,129.42070938684836
670,울산광역시,31,북구,31200,114,2050.0,10308000000.0,0,114,0,0,0,0,0,114,0,0,0,0,0,0,0,35.580836980562,129.3626825516578
671,울산광역시,31,울주군,31710,56,530.0,1078000000.0,56,0,0,0,0,0,56,0,0,0,0,0,0,0,0,35.567139713769855,129.11752757835714
672,울산광역시,31,울주군,31710,272,5302.0,15363000000.0,0,222,50,0,0,0,19,253,0,0,0,0,0,0,0,35.484233029338235,129.29491978105176
673,울산광역시,31,중구,31110,240,7100.0,30920000000.0,0,0,180,0,60,0,0,8,232,0,0,0,0,0,0,35.5656752088465,129.26534148484748
674,울산광역시,31,중구,31110,87,1816.0,6162000000.0,0,47,30,10,0,0,0,77,10,0,0,0,0,0,0,35.555997082977825,129.3269622677428
675,울산광역시,31,중구,31110,50,991.0,2649000000.0,0,27,23,0,0,0,27,23,0,0,0,0,0,0,0,35.57834432863438,129.34388256190942
1078,울산광역시,31,북구,31200,84,2156.0,10908000000.0,0,0,84,0,0,0,0,0,84,0,0,0,0,0,0,35.58350310695755,129.36603820732935
1079,울산광역시,31,울주군,31710,36,627.0,1074000000.0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,35.432718017380765,129.30730944714736
1158,울산광역시,31,남구,31140,65,1168.0,4109000000.0,0,65,0,0,0,0,0,65,0,0,0,0,0,0,0,35.52458656662904,129.31431451977565
