,MEGA_NM,MEGA_CD,CTY_NM,CTY_CD,HOUS,POP,CLSS,latitude,longitude
8536,울산광역시,31,중구,31110,160.91,203.45,2,35.55198111906983,129.28167138007134
8537,울산광역시,31,남구,31140,70.98,112.77,3,35.54844639274071,129.2749970319731
8538,울산광역시,31,동구,31170,111.88,378.58,4,35.4775128513573,129.41162499320785
8539,울산광역시,31,중구,31110,49.92,160.06,4,35.55952886497349,129.33363944171532
8540,울산광역시,31,울주군,31710,210.0,580.82,4,35.423657462267144,129.3115678232347
8541,울산광역시,31,중구,31110,28.75,90.21,3,35.55577646035411,129.34681415613946
8542,울산광역시,31,중구,31110,148.51,187.49,3,35.555726456418896,129.26849401989017
8543,울산광역시,31,북구,31200,47.54,127.8,3,35.623244431091905,129.3589873115871
8544,울산광역시,31,동구,31170,50.24,109.78,3,35.48642138575944,129.42059810189517
8545,울산광역시,31,중구,31110,68.52,85.71,3,35.55573808255147,129.2673911089868
8546,울산광역시,31,남구,31140,103.58,268.74,4,35.544794513001975,129.27935085712903
8547,울산광역시,31,남구,31140,118.98,160.08,4,35.5476150779937,129.2683659438775
8548,울산광역시,31,남구,31140,129.95,139.1,3,35.54583578165099,129.26613193845085
8549,울산광역시,31,중구,31110,172.0,537.97,4,35.555313188373475,129.30709549950998
8550,울산광역시,31,남구,31140,133.22,433.66,3,35.5290566498021,129.3176957504134
8551,울산광역시,31,울주군,31710,160.0,443.28,3,35.54465797614311,129.11169992657378
8552,울산광역시,31,중구,31110,60.58,182.38,2,35.548726197015256,129.33235712559278
8553,울산광역시,31,중구,31110,141.14,235.62,2,35.55432780507138,129.31480094907215
8554,울산광역시,31,울주군,31710,37.76,85.28,2,35.436346972986186,129.30516533163345
8555,울산광역시,31,중구,31110,118.38,408.57,3,35.57018384914235,129.34815907902862
8556,울산광역시,31,남구,31140,243.31,712.05,4,35.53606035299547,129.2527440243195
8557,울산광역시,31,북구,31200,4.98,16.26,1,35.59997367890631,129.42260653147508
8558,울산광역시,31,울주군,31710,27.02,74.62,1,35.47945148521149,129.32018994497355
8559,울산광역시,31,남구,31140,4.11,13.56,2,35.53304288993463,129.28247215555737
8560,울산광역시,31,북구,31200,32.6,104.8,2,35.60407005774516,129.45689490118212
8561,울산광역시,31,울주군,31710,60.38,128.33,2,35.43267013535539,129.311714297499
8562,울산광역시,31,울주군,31710,14.04,38.16,2,35.61154613246584,129.27489608864036
8563,울산광역시,31,울주군,31710,18.01,46.21,1,35.58278510564024,129.08243389706033
8564,울산광역시,31,울주군,31710,54.02,142.23,2,35.41137123397787,129.2805369366511
8565,울산광역시,31,북구,31200,16.3,55.0,2,35.57003475245305,129.36139591231097
8566,울산광역시,31,중구,31110,22.04,43.66,2,35.551539443449336,129.32247652222352
8567,울산광역시,31,울주군,31710,1.53,4.26,3,35.53722078459267,129.135859937278
8568,울산광역시,31,북구,31200,5.07,16.59,3,35.61987479776353,129.3379548591976
8569,울산광역시,31,울주군,31710,1.5,4.17,3,35.406652634236146,129.3002811101784
8570,울산광역시,31,울주군,31710,1.53,4.09,2,35.40432375838552,129.26501083938322
8571,울산광역시,31,중구,31110,4.41,14.85,3,35.584308221792334,129.29322238777647
8572,울산광역시,31,남구,31140,6.85,26.0,2,35.49029070654492,129.3181632524351
8573,울산광역시,31,남구,31140,13.7,39.82,3,35.50932530940011,129.3085529296277
8574,울산광역시,31,울주군,31710,15.2,41.1,1,35.69518039912115,129.20661303240166
8575,울산광역시,31,울주군,31710,9.66,28.08,1,35.39178607902487,129.3407732557283
8576,울산광역시,31,동구,31170,645.0,2250.39,4,35.52595723844375,129.431220071481
